Team,P,F,A
Arsenal,8,15,3
Aston Villa,8,8,8
Bournemouth,8,14,11
Brentford,8,11,12
Brighton,8,12,11
Burnley,8,9,15
Chelsea,8,16,9
Crystal Palace,8,12,8
Everton,8,9,9
Fulham,8,8,12
Leeds,8,7,13
Liverpool,8,14,11
Man City,8,17,6
Man United,8,11,12
Newcastle,8,7,7
Nott'm Forest,8,5,15
Sunderland,8,9,6
Tottenham,8,14,7
West Ham,8,6,18
Wolves,8,5,16
