Team,P,F,A
Augsburg,9,12,21
Bayern Munich,9,33,4
Dortmund,9,15,6
Ein Frankfurt,9,22,19
FC Koln,9,16,12
Freiburg,9,11,13
Hamburg,9,8,15
Heidenheim,9,8,17
Hoffenheim,9,18,15
Leverkusen,9,18,14
M'gladbach,9,10,18
Mainz,9,10,17
RB Leipzig,9,19,10
St Pauli,9,8,18
Stuttgart,9,14,10
Union Berlin,9,11,15
Werder Bremen,9,13,17
Wolfsburg,9,11,16
