Team,P,F,A
Bielefeld,11,21,18
Bochum,11,14,18
Braunschweig,11,12,22
Darmstadt,11,16,9
Dresden,11,15,22
Elversberg,11,24,10
Fortuna Dusseldorf,11,10,19
Greuther Furth,11,17,30
Hannover,11,20,15
Hertha,11,14,10
Holstein Kiel,11,12,12
Kaiserslautern,11,20,13
Karlsruhe,11,19,14
Magdeburg,11,9,21
Nurnberg,11,11,15
Paderborn,11,19,10
Preußen Münster,11,17,20
Schalke 04,11,15,7
