Team,P,F,A
Anderlecht,13,20,13
Antwerp,13,10,15
Cercle Brugge,13,17,19
Charleroi,13,16,20
Club Brugge,13,21,12
Dender,13,6,21
Genk,13,18,17
Gent,13,22,21
Mechelen,13,18,16
Oud-Heverlee Leuven,13,13,21
RAAL La Louviere,13,10,11
St Truiden,13,18,16
St. Gilloise,13,28,7
Standard,13,13,18
Waregem,13,19,19
Westerlo,13,19,22
