Team,P,F,A
Alanyaspor,11,11,11
Antalyaspor,11,12,20
Besiktas,11,18,15
Buyuksehyr,11,12,9
Eyupspor,11,6,14
Fenerbahce,11,21,8
Galatasaray,11,25,5
Gaziantep,11,15,18
Genclerbirligi,11,10,16
Goztep,11,13,6
Karagumruk,11,10,23
Kasimpasa,11,11,15
Kayserispor,11,11,24
Kocaelispor,11,10,15
Konyaspor,11,18,18
Rizespor,11,12,14
Samsunspor,11,17,11
Trabzonspor,11,17,7
